x_tr,y_tr
-3.0074868,-0.9735418
-2.4635563,-0.7517024
-3.8230453,-2.1803787
-3.735939,-1.7850746
-3.3851542,-1.511269
-2.7318425,-0.8665989
-3.019813,-0.9905631
-2.2071104,-0.38214538
-3.0887442,-1.1491747
-2.7353873,-0.86230946
-3.3022132,-1.2719883
-3.1965654,-1.1954044
-3.9553485,-2.232892
-3.662282,-1.8725065
-3.412223,-1.6603634
-2.9629564,-0.99731296
-2.6046648,-0.7366858
-2.3999772,-0.56496704
-3.677941,-2.0882187
-3.435463,-1.3575252
3.1863441,1.1102395
2.2246945,0.38547584
2.3069139,0.34485903
2.4834166,0.5771072
3.4524732,1.7661151
3.4021604,1.3526077
2.4076476,0.5744146
3.302107,1.4394782
3.5489721,1.4124469
2.8737826,0.7144255
3.0381815,1.0483875
3.2317047,1.3255181
3.6203766,1.8467351
3.960194,2.3887756
2.2293763,0.46344277
2.6335301,0.7521287
3.39301,1.549355
3.8285494,2.0509167
3.8702073,2.311176
3.8823566,2.135803
