communications,iteration,train_mll,train_acc,test_mll,test_acc
0,0,-0.4485826790332794,0.8845664858818054,-0.4500270485877991,0.879672646522522
2,1,-0.4492630660533905,0.8831287622451782,-0.45163092017173767,0.8825480937957764
4,2,-0.44721120595932007,0.883460521697998,-0.4489825665950775,0.8807786107063293
6,3,-0.4413941502571106,0.8862530589103699,-0.4430157244205475,0.882437527179718
8,4,-0.44434747099876404,0.8838199377059937,-0.4457077980041504,0.8819951415061951
10,5,-0.44778043031692505,0.883460521697998,-0.4497058689594269,0.8808891773223877
12,6,-0.44163066148757935,0.8826034069061279,-0.443724125623703,0.8784561157226562
14,7,-0.442129522562027,0.8837093710899353,-0.4454277455806732,0.8797832131385803
16,8,-0.4427516460418701,0.8847047090530396,-0.4457874894142151,0.8804467916488647
18,9,-0.4439562261104584,0.8743917346000671,-0.44311636686325073,0.8730369210243225
20,10,-0.38657277822494507,0.8830181360244751,-0.40552398562431335,0.8800044059753418
22,11,-0.3673816919326782,0.8829628229141235,-0.37575188279151917,0.8798938393592834
24,12,-0.36861127614974976,0.8811933398246765,-0.3784250319004059,0.8774607181549072
26,13,-0.3611431419849396,0.884345293045044,-0.3796490728855133,0.8809998035430908
28,14,-0.35785362124443054,0.8838752508163452,-0.37549200654029846,0.8785666823387146
30,15,-0.359745055437088,0.8841241002082825,-0.3685244619846344,0.8816633224487305
32,16,-0.3638353645801544,0.8850917816162109,-0.37842798233032227,0.8816633224487305
34,17,-0.3795900046825409,0.8824651837348938,-0.39084649085998535,0.8793408274650574
36,18,-0.36138537526130676,0.8831011056900024,-0.37558966875076294,0.8777925372123718
38,19,-0.38263481855392456,0.8815804123878479,-0.4108768701553345,0.8761336207389832
40,20,-0.44087374210357666,0.8816633224487305,-0.467529296875,0.8774607181549072
42,21,-0.34756648540496826,0.8871378302574158,-0.372155100107193,0.8839858174324036
44,22,-0.3467341363430023,0.8842346668243408,-0.3617841899394989,0.8800044059753418
46,23,-0.34682735800743103,0.8840134739875793,-0.3669262230396271,0.8801150321960449
48,24,-0.3462395668029785,0.8837370276451111,-0.37103307247161865,0.8773501515388489
50,25,-0.35107481479644775,0.8844005465507507,-0.3704417049884796,0.8793408274650574
52,26,-0.3517041504383087,0.8844558596611023,-0.3690268099308014,0.8812209963798523
54,27,-0.3523857593536377,0.8865571618080139,-0.3726155459880829,0.8822163343429565
56,28,-0.3587704300880432,0.8833222985267639,-0.37341538071632385,0.8806679844856262
58,29,-0.34535422921180725,0.8855065107345581,-0.36049985885620117,0.8827692866325378
60,30,-0.42031803727149963,0.8833222985267639,-0.4311387836933136,0.8805574178695679
62,31,-0.36022838950157166,0.8835158348083496,-0.3700123727321625,0.8812209963798523
64,32,-0.3352920711040497,0.8850088715553284,-0.34600216150283813,0.8818845152854919
66,33,-0.36169248819351196,0.8882160782814026,-0.3656720221042633,0.8876354694366455
68,34,-0.3214053809642792,0.8879119753837585,-0.3315514326095581,0.8861977458000183
70,35,-0.36962246894836426,0.8835987448692322,-0.3850727677345276,0.8798938393592834
72,36,-0.3307667672634125,0.8882990479469299,-0.34256333112716675,0.8867506980895996
74,37,-0.32330358028411865,0.8874972462654114,-0.33496132493019104,0.887414276599884
76,38,-0.3231225311756134,0.8889349699020386,-0.3291296064853668,0.8867506980895996
78,39,-0.35024240612983704,0.8876907825469971,-0.3620207905769348,0.8857553601264954
80,40,-0.3827504515647888,0.8908980488777161,-0.39259734749794006,0.8911744952201843
82,41,-0.33458617329597473,0.8903173804283142,-0.3466515839099884,0.8890731930732727
84,42,-0.31917625665664673,0.8897367715835571,-0.32764431834220886,0.8894050121307373
86,43,-0.32925909757614136,0.8895432353019714,-0.3365504741668701,0.8877460956573486
88,44,-0.31638213992118835,0.8886861205101013,-0.32639214396476746,0.887414276599884
90,45,-0.33096009492874146,0.8845664858818054,-0.3396407663822174,0.8808891773223877
92,46,-0.3564925193786621,0.8858659863471985,-0.36777830123901367,0.8827692866325378
94,47,-0.3178173005580902,0.8901238441467285,-0.32406309247016907,0.8896262049674988
96,48,-0.31419479846954346,0.8917551636695862,-0.32384321093559265,0.8901791572570801
98,49,-0.29961833357810974,0.8897091150283813,-0.3114798069000244,0.8896262049674988
100,50,-0.30610767006874084,0.8915892243385315,-0.3116201162338257,0.8926122784614563
102,51,-0.2899429500102997,0.8923357725143433,-0.2971881031990051,0.8927228450775146
104,52,-0.28270354866981506,0.8920316100120544,-0.28899604082107544,0.8917275071144104
106,53,-0.27267032861709595,0.8917275071144104,-0.28332236409187317,0.8908427357673645
108,54,-0.2730379104614258,0.8915339708328247,-0.28626707196235657,0.8916168808937073
110,55,-0.27402129769325256,0.8918657302856445,-0.28146079182624817,0.8911744952201843
112,56,-0.26649442315101624,0.8908980488777161,-0.273979514837265,0.8901791572570801
114,57,-0.26775097846984863,0.8914510011672974,-0.27538660168647766,0.8909533023834229
116,58,-0.2610068619251251,0.8914786577224731,-0.2694803774356842,0.8898473978042603
118,59,-0.25762128829956055,0.8933034539222717,-0.2671479284763336,0.8907321095466614
120,60,-0.2565745711326599,0.895570695400238,-0.26826831698417664,0.8934969902038574
122,61,-0.2526892125606537,0.8962342143058777,-0.2612021863460541,0.8949347734451294
124,62,-0.24863962829113007,0.8979484438896179,-0.2557547688484192,0.8967042565345764
126,63,-0.2509114742279053,0.8981972932815552,-0.2579135000705719,0.8948241472244263
128,64,-0.2518044114112854,0.897478461265564,-0.2582426965236664,0.8971466422080994
130,65,-0.24532225728034973,0.8978655338287354,-0.25239938497543335,0.8967042565345764
132,66,-0.24113234877586365,0.8996903300285339,-0.24732595682144165,0.8971466422080994
134,67,-0.24279022216796875,0.8983631730079651,-0.252091646194458,0.8967042565345764
136,68,-0.24418185651302338,0.8981419801712036,-0.2526708245277405,0.897478461265564
138,69,-0.24122238159179688,0.8992756009101868,-0.248845636844635,0.8984737992286682
140,70,-0.24584181606769562,0.8994691371917725,-0.2544851303100586,0.8985843658447266
142,71,-0.2419082671403885,0.9007962942123413,-0.25028154253959656,0.8972572684288025
144,72,-0.23691238462924957,0.9008516073226929,-0.24643561244010925,0.8989161849021912
146,73,-0.23582710325717926,0.9010451436042786,-0.24929796159267426,0.8982526063919067
148,74,-0.24678672850131989,0.8986673355102539,-0.25398436188697815,0.8958194851875305
150,75,-0.2468341737985611,0.8976166844367981,-0.2579999268054962,0.8940500020980835
152,76,-0.24212004244327545,0.8983079195022583,-0.2527811527252197,0.8946029543876648
154,77,-0.24037371575832367,0.897478461265564,-0.2490389049053192,0.8949347734451294
156,78,-0.23727785050868988,0.8983631730079651,-0.24822357296943665,0.8949347734451294
