z,yz
-2.4521089,-0.97303665
2.3725884,0.92779183
2.3299916,1.3025719
-2.4441428,-0.67319125
2.262902,0.26215973
2.3340893,1.4178317
2.262625,0.20445861
2.5315425,0.8676858
2.3110998,0.40315035
2.239774,0.5732454
-2.4633033,-0.7921808
-2.4354832,-0.19946375
2.243745,0.3963904
-2.531112,-1.4628637
2.2464626,0.5104081
-2.4571617,-0.74302906
-2.448745,-1.1251777
2.2502713,0.36252594
2.3275485,0.6298155
-2.4176645,-0.46975195
-2.4426243,-0.47261164
-2.4167578,-0.412957
2.3376627,1.3650163
-2.4076066,-0.36354202
2.2769902,0.6455509
2.3209805,-0.3211726
2.2963245,0.5184515
-2.5039232,-0.4715667
-2.4298859,-0.48379627
2.262447,0.49767354
-2.4668336,-0.26051617
-2.4621525,-0.9133946
-2.443789,-0.16151865
2.2578518,0.52948606
2.3297493,0.27834174
2.359095,0.5946054
-2.4995062,-1.2149113
-2.4167953,-0.50321466
-2.4261472,-0.36618674
-2.587736,-0.9851304
