[2022-08-04 05:24:45] - DEBUG - Call: ['experiments/classification.py', '--q', 'GI', '-d', 'B', '--prior', 'neal', '--server', 'SEQ', '--split', 'A', '--lr', '0.001', '-l', '10000', '-g', '10', '--batch', '256', '-M', '10', '--num_clients=1']
[2022-08-04 05:24:45] - DEBUG - Root: /home/mojb2/GI-PVI/results/08-04-04.24.43_seq-gi-bank-1c-10g-10000l-neal-splita-256b-0-001lr-2s-10m-20p
[2022-08-04 05:24:45] - DEBUG - Time: 08-04-04.24.43
[2022-08-04 05:24:45] - DEBUG - Seed: 0
[2022-08-04 05:24:45] - INFO - [97mConfig: Config(seed=0, plot=True, kl=Analytic, optimizer='Adam', bias=True, load=None, log_step=50)[0m
[2022-08-04 05:24:45] - INFO - [97mArgs: Namespace(M=10, batch=256, damp=None, dgp='B', global_iters=10, inference_samples=50, linspace_yz=False, local_iters=10000, lr=0.001, name='', no_plot=False, num_clients=1, patience=20, plot=True, prior='neal', q='GI', rand_mean=True, random_z=False, seed=0, server='SEQ', split='A', training_samples=2)[0m
[2022-08-04 05:24:59] - INFO - [93mClient data partition size:      [1][0m
[2022-08-04 05:24:59] - INFO - [93mClient data proportion positive: [0.88][0m
[2022-08-04 05:24:59] - INFO - LR: 0.001
[2022-08-04 05:25:19] - INFO - SERVER - sequential - iter [ 0/10] - [94mtrain mll:   -0.558, train acc:   0.8464, test mll:   -0.560, test acc:   0.8479[0m
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  29/10000] - local vfe:        -0.588, ll:        -0.435, kl: 5522.227, error:  0.16016
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  30/10000] - local vfe:        -0.625, ll:        -0.472, kl: 5517.640, error:  0.12500
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  31/10000] - local vfe:        -0.555, ll:        -0.402, kl: 5516.104, error:  0.12109
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  32/10000] - local vfe:        -0.592, ll:        -0.440, kl: 5510.535, error:  0.15234
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  33/10000] - local vfe:        -0.567, ll:        -0.415, kl: 5498.629, error:  0.14844
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  34/10000] - local vfe:        -0.580, ll:        -0.428, kl: 5499.396, error:  0.14844
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  35/10000] - local vfe:        -0.562, ll:        -0.411, kl: 5494.515, error:  0.12109
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  36/10000] - local vfe:        -0.573, ll:        -0.421, kl: 5487.553, error:  0.09375
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  37/10000] - local vfe:        -0.559, ll:        -0.408, kl: 5484.232, error:  0.14453
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  38/10000] - local vfe:        -0.563, ll:        -0.411, kl: 5479.380, error:  0.11328
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  39/10000] - local vfe:        -0.536, ll:        -0.384, kl: 5478.412, error:  0.10547
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  40/10000] - local vfe:        -0.562, ll:        -0.411, kl: 5473.053, error:  0.10547
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  41/10000] - local vfe:        -0.616, ll:        -0.465, kl: 5468.824, error:  0.13281
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  42/10000] - local vfe:        -0.594, ll:        -0.443, kl: 5470.305, error:  0.14453
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  43/10000] - local vfe:        -0.601, ll:        -0.449, kl: 5461.872, error:  0.14062
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  44/10000] - local vfe:        -0.571, ll:        -0.420, kl: 5462.449, error:  0.10547
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  45/10000] - local vfe:        -0.626, ll:        -0.475, kl: 5456.594, error:  0.17578
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  46/10000] - local vfe:        -0.586, ll:        -0.435, kl: 5448.995, error:  0.13281
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  47/10000] - local vfe:        -0.527, ll:        -0.376, kl: 5453.528, error:  0.09766
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  48/10000] - local vfe:        -0.519, ll:        -0.369, kl: 5448.245, error:  0.10156
[2022-08-04 05:25:24] - DEBUG - CLIENT - client0 - global  1/10 - local [  49/10000] - local vfe:        -0.543, ll:        -0.393, kl: 5443.198, error:  0.12500
[2022-08-04 05:25:24] - INFO - CLIENT - client0 - global  1/10 - local [  50/10000] - local vfe:        -0.591, ll:        -0.441, kl: 5447.185, error:  0.14453
[2022-08-04 05:25:25] - DEBUG - CLIENT - client0 - global  1/10 - local [  51/10000] - local vfe:        -0.491, ll:        -0.341, kl: 5440.057, error:  0.09766
