z,yz
-0.14155532,-1.7340993
0.13851967,1.6552606
3.0766582,2.9842675
-0.167396,-1.0593717
1.3910996,-0.3948997
-0.20024905,2.6056907
-0.19148484,0.51383305
0.3381342,2.0370698
0.3667101,1.2841846
-0.14333849,1.0938368
-0.06336118,-1.0005453
-2.0107315,0.8710787
0.11573757,0.16000545
-0.4401791,-2.138837
2.2900848,-0.70744413
0.08593529,-1.374038
-0.16495073,-1.9967437
0.5491607,-0.18920584
-0.3423086,2.2901413
-0.29256505,-0.43858686
0.030553296,-1.1896666
0.04196727,-0.50608486
0.4061674,1.9793199
-0.24569236,-0.3687008
-0.09377034,2.0227215
3.3585968,1.8331671
1.1551602,0.9362788
-0.14927754,-1.6687773
-0.109681465,-0.47815585
0.15043008,0.4254482
0.008733217,-1.0969898
-0.056069687,-1.682434
0.03680513,-0.17413941
0.19503506,0.26785335
-0.19456376,1.5556114
0.15758963,1.7482636
-3.4515867,-3.1437662
-0.5124317,0.4313374
-3.127307,-1.4496821
-0.23938039,-1.8057989
