z,yz
-0.29270604,0.10718906
2.656341,0.760619
3.8217614,2.3162947
-1.1788894,0.17470159
0.48675197,-0.29031017
1.2390658,1.0201932
0.44903073,0.07259406
0.39491802,0.46128738
1.0564378,-0.57745165
1.9815347,0.43240255
-0.9441687,0.3056262
-0.030736767,0.68676853
0.06439054,0.08116704
-3.8032763,-2.2149758
0.13002504,0.22620772
-2.2788994,-0.46124786
-0.9858335,-0.5232284
0.27290463,-0.20562974
3.2967255,1.322465
0.24222814,0.18751474
-0.26547712,0.25466955
0.17086066,0.24116684
1.3452121,0.5420491
0.31330368,-0.03653117
0.8442001,-0.2807822
0.68987,-0.46734482
2.1820261,0.2844512
-3.0749402,-1.0985386
-0.6738395,0.39100212
0.26036277,-0.055486683
-0.22424006,0.7150486
-0.52859795,0.085112534
-0.20362072,0.26513445
0.5081122,-0.045236167
1.3050326,-0.090129785
0.6606752,-0.25571513
-1.8367629,-0.03656684
-0.043103013,0.37765542
-0.32462716,0.64415497
-0.8724492,0.23579994
