epoch,lls,kls,elbos,errors
0,-47939710.168289855,66.14331178672144,-479397167.8262103,0.18449198920826768
1,-46107587.11130261,70.42507009199758,-461075941.5380962,11.43726136392841
2,-58574220.89014724,65.06769849700333,-585742273.9691708,21.942564269694824
3,-88963900.8720458,71.06387487646195,-889639079.7843329,4.320857225659958
4,-34080635.34631983,64.01600091054263,-340806417.47919923,0.7330073255672643
5,-36552712.865204036,66.80873225733744,-365527195.46077263,0.22626359870052232
6,-72374795.40261972,68.09084512177854,-723748022.1170423,14.799078220026601
7,-92110496.9192324,66.9209284674497,-921105036.1132524,14.56750574755117
8,-32146454.464824323,64.6730239833682,-321464609.32126725,10.047858905721833
9,-81306738.56458987,65.42445714882334,-813067451.0703559,18.7239601839044
10,-54245780.60558026,63.7894998819672,-542457869.8453025,6.750013051555937
11,-30061883.057110716,65.81265572544804,-300618896.3837629,8.676561248376627
12,-46140113.74696511,66.20117171415987,-461401203.6708228,2.2622821462486082
13,-40133319.11291504,63.12673635159285,-401333254.25588673,13.447271453364731
14,-38253078.76066885,67.93413948203286,-382530855.540828,2.6716681056979588
15,-34972526.178539515,64.65749463506585,-349725326.4428898,1.4040233879595307
16,-27994092.001588598,63.97506796712425,-279940983.9909539,5.743638094847817
17,-36073036.30577256,64.97037317572642,-360730428.0280987,4.5027541348218945
18,-36274590.99464085,69.119266459657,-362745979.06567496,4.2801208236870085
19,-43093997.91801798,64.09770814161482,-430940043.277888,8.640462872073812
20,-40318309.90601967,65.95979106182305,-403183165.0199878,13.42666455013294
21,-59866493.29203555,67.55590828523073,-598665000.4762639,1.7856176434309068
22,-22266647.152630918,62.732461657214415,-222666534.25877085,5.200707952689391
23,-62267896.530998334,68.07642401381281,-622679033.3864074,37.875668149412405
24,-33569704.31408217,65.97149840952935,-335697109.1123201,1.7310662706782365
25,-28768525.09393058,64.25515558378127,-287685315.19446135,25.025855312315965
26,-55754214.827180654,68.34247217496393,-557542216.6142787,17.690691913245455
27,-28739089.089687362,60.090886102219045,-287390950.9877597,13.583452878132407
28,-34560177.93997248,59.34207577253719,-345601838.7418006,39.476706247860406
29,-51851777.42164957,65.4226987374194,-518517839.6391944,20.255445484383593
30,-24487931.336469576,66.38343419336877,-244879379.74812996,5.223706479183644
31,-36010759.9365058,65.67484915344156,-360107665.03990716,2.298467721689257
32,-14571276.242055345,65.72413502754236,-145712828.1446885,5.609122201280034
33,-18311733.509103544,65.98991397994818,-183117401.0809494,4.246934411681171
34,-32064634.104293488,64.20673665411964,-320646405.2496716,9.853430957977473
35,-26673751.36715626,66.53351503739613,-266737580.20507765,13.280002014613771
36,-30069931.129636355,64.76408579295237,-300699376.0604493,8.18002417590609
37,-21829304.434200734,65.96787596518143,-218293110.3098833,0.3735311950708635
38,-31760412.948654957,63.92450928774022,-317604193.41105884,3.4444144993933983
39,-29845583.629292328,65.85727265223198,-298455902.1501959,0.9096858867131434
40,-24707587.742851973,65.55238116147724,-247075942.98090088,0.9099266313420092
41,-22574815.50565142,64.08722833274707,-225748219.14374253,15.249192451640438
42,-55837405.73056229,65.33388243295413,-558374122.6395054,36.64641950966633
43,-21467160.760600775,65.68542410005635,-214671673.29143184,3.8426788370819627
44,-21158032.838320084,59.832201006997344,-211580388.21540183,2.441609665775919
45,-11362386.391237989,66.40622878356902,-113623930.31860867,0.3545116970855545
46,-29288327.267059296,64.87773643166622,-292883337.5483294,10.35313842591902
47,-29252718.80112143,66.39701972102824,-292527254.408234,7.921298721349525
48,-39754984.04870763,62.42612839282547,-397549902.91320467,12.310599811075619
49,-22168782.791113913,62.047965514454816,-221687889.95910466,1.4243040503782156
50,-18430543.917759843,64.9814269463882,-184305504.15902537,0.7206474122665768
51,-17791280.71525439,65.05920535248798,-177912872.21174926,6.2324979278788355
52,-21460046.312515654,65.55143872517647,-214600528.67659524,6.445631442755547
53,-25280231.840336658,65.02951210058792,-252802383.43287867,2.873833522178063
54,-21265350.261491634,61.969077713772606,-212653564.58399403,28.219368299820523
55,-18385703.294501282,62.755730931886184,-183857095.70074373,2.955063291298348
56,-26940334.790850747,68.89720291457552,-269403416.8057104,0.8337110218204016
57,-15201630.108877713,65.91782530384322,-152016367.00660244,5.554971061167371
58,-13942140.854661403,62.796932448905615,-139421471.34354648,7.189469508407277
59,-13599447.61854769,61.67318672180673,-135994537.85866362,8.100598468103232
60,-13398111.03688319,62.311078840497885,-133981172.67991075,4.245123519738399
61,-20562397.10707105,65.6777123066685,-205624036.7484228,6.932457966965187
62,-13972120.779774498,61.63438924284466,-139721269.43213424,0.673653696791007
63,-39225672.7103438,70.08059242668783,-392256797.1840305,12.085080205225239
64,-34579148.9476006,65.90138780511961,-345791555.37739384,6.91330748302951
65,-13786017.475643018,65.1534507902506,-137860239.90988097,2.49277733376433
66,-23579089.244025663,64.52495686228549,-235790956.96521348,3.044447922179674
67,-51489660.19998571,65.38297818109777,-514896667.3828353,21.676779249260893
68,-15044448.447150145,64.38051050016195,-150444548.85201195,0.854997491266722
69,-35250463.033278614,71.0142156697875,-352504701.3470018,17.78305008854387
70,-36203719.334684,64.95453350924991,-362037258.30137354,7.5730009511505925
71,-36261035.34706429,64.1206329351666,-362610417.5912758,18.66862710583617
72,-10344905.922620326,67.6386499685227,-103449126.86485323,4.115763084456892
73,-16744859.326482851,64.86671093314507,-167448658.13153943,4.2700497291154065
74,-14401320.988112047,63.408698206288136,-144013273.28981867,3.537166229318901
75,-25678935.275159538,66.46705424134733,-256789419.21864963,31.001837422664853
76,-19349797.77226077,67.18468512539035,-193498044.9072928,6.687185177087892
