z,yz
-0.19346648,-2.471275
-0.04438382,2.2315183
3.7306957,4.0323853
0.0048536663,-1.5668908
0.08148866,0.5601286
0.001708193,3.1957269
-0.073725305,-0.31472564
-0.057265986,2.5669029
0.008715726,1.6017216
-0.099091165,1.1962992
-0.06509449,-1.6330888
-0.10632898,-0.15616941
-0.17266522,0.085924745
-0.074996,-3.3073492
2.2498517,0.40183342
-0.044540446,-1.6685442
0.057719152,-3.6456394
3.4963892,1.6191834
-0.12511386,2.7463655
0.19502032,-0.26178047
-0.055147994,-1.3043836
-0.17151648,0.5391093
0.054249678,3.2419257
-3.7127628,-2.055872
0.1643226,2.498744
0.10558323,1.220494
0.052397802,2.1574535
-0.025922377,-2.2014282
-2.9284303,-0.9451
0.056217056,-0.2073369
-0.037495866,-1.3711106
-0.066106744,-1.968533
-0.17387448,1.4120349
0.0704034,-0.60157806
0.104875855,1.8634733
-0.008194225,2.1012323
-2.108516,-3.894581
-2.134889,-0.25880983
0.059652366,-1.1075046
0.03845676,-2.984458
