communications,iteration,train_mll,train_error,test_mll,test_error
0,0,-61.256893157958984,1.402147650718689,0.21240007877349854,0.17156925797462463
2,1,-9.94607925415039,0.5773926973342896,-2.4208688735961914,0.3331514894962311
4,2,-3.329134464263916,0.3202817440032959,-0.11812421679496765,0.18953168392181396
6,3,-2.3361077308654785,0.28087401390075684,0.21064259111881256,0.16538050770759583
8,4,-2.1387808322906494,0.25604015588760376,0.3437545597553253,0.15045654773712158
