communications,iteration,train_mll,train_error,test_mll,test_error
0,0,-148.0388641357422,1.4290677309036255,-12.190452575683594,0.18122030794620514
4,1,0.35747748613357544,0.13717325031757355,-1.6402266025543213,0.13297466933727264
8,2,0.17614489793777466,0.14264217019081116,-4.081169128417969,0.14652672410011292
