iteration,vfe,ll,kl,error
249,-0.3122287392616272,-0.3079080283641815,16.881183624267578,0.13488608598709106
299,-0.31171512603759766,-0.3070143163204193,18.365970611572266,0.1320706605911255
349,-0.3114718794822693,-0.30703940987586975,17.317678451538086,0.136421799659729
399,-0.31019291281700134,-0.30578821897506714,17.209129333496094,0.13437420129776
449,-0.3120590150356293,-0.3075075149536133,17.78281021118164,0.13386231660842896
499,-0.31205350160598755,-0.3074626922607422,17.93634796142578,0.13488608598709106
549,-0.31200096011161804,-0.30738386511802673,18.038965225219727,0.13386231660842896
599,-0.31259632110595703,-0.30806899070739746,17.68840217590332,0.13565397262573242
649,-0.31088200211524963,-0.3064136803150177,17.457706451416016,0.13283848762512207
699,-0.31100937724113464,-0.3062351942062378,18.652692794799805,0.13718968629837036
749,-0.3114985525608063,-0.3070395886898041,17.421297073364258,0.1330944299697876
799,-0.3111020028591156,-0.3066661059856415,17.330923080444336,0.13411825895309448
849,-0.31166329979896545,-0.30733799934387207,16.898990631103516,0.13411825895309448
899,-0.3107592761516571,-0.30607929825782776,18.28460121154785,0.13488608598709106
949,-0.31203675270080566,-0.3076331615447998,17.204792022705078,0.1330944299697876
999,-0.31224533915519714,-0.3077608346939087,17.52093505859375,0.13335037231445312
0,-0.31134912371635437,-0.30719539523124695,16.228744506835938,0.13488608598709106
49,-0.3103283643722534,-0.30581411719322205,17.637235641479492,0.1353980302810669
99,-0.3093232214450836,-0.3047509789466858,17.863691329956055,0.13437420129776
149,-0.3092394769191742,-0.30460381507873535,18.111570358276367,0.1310468316078186
199,-0.3094976842403412,-0.3047470152378082,18.560791015625,0.13079088926315308
249,-0.3108086585998535,-0.30603253841400146,18.66022300720215,0.13181471824645996
299,-0.3105466365814209,-0.30601072311401367,17.72184181213379,0.13130277395248413
349,-0.3103574812412262,-0.30571672320365906,18.131380081176758,0.13360637426376343
399,-0.3107670843601227,-0.3062114417552948,17.798906326293945,0.13488608598709106
449,-0.31023460626602173,-0.30580002069473267,17.325855255126953,0.1297670602798462
499,-0.3104531466960907,-0.30590590834617615,17.766193389892578,0.1310468316078186
549,-0.30993935465812683,-0.3052792251110077,18.207199096679688,0.1353980302810669
599,-0.3098311126232147,-0.3051654100418091,18.228910446166992,0.13258254528045654
649,-0.3103981018066406,-0.30554133653640747,18.975339889526367,0.1330944299697876
699,-0.30951187014579773,-0.3046255111694336,19.090978622436523,0.1330944299697876
749,-0.31023967266082764,-0.3056916296482086,17.769184112548828,0.1320706605911255
799,-0.30954065918922424,-0.3050394058227539,17.586336135864258,0.13437420129776
849,-0.3097614347934723,-0.30508556962013245,18.268583297729492,0.13283848762512207
899,-0.3101118505001068,-0.305276483297348,18.89176368713379,0.13335037231445312
949,-0.31003567576408386,-0.3053677976131439,18.23741912841797,0.1310468316078186
999,-0.3098369240760803,-0.30500754714012146,18.868371963500977,0.13360637426376343
0,-0.30916744470596313,-0.3048144280910492,17.00702476501465,0.1353980302810669
49,-0.30804869532585144,-0.30376607179641724,16.732080459594727,0.13181471824645996
99,-0.30852529406547546,-0.30398115515708923,17.753721237182617,0.13130277395248413
149,-0.309268057346344,-0.305038183927536,16.526166915893555,0.13232660293579102
199,-0.30989694595336914,-0.30571264028549194,16.34815788269043,0.13411825895309448
249,-0.3094578683376312,-0.30487683415412903,17.898193359375,0.13130277395248413
299,-0.3091699182987213,-0.30494189262390137,16.518890380859375,0.1320706605911255
349,-0.3081999123096466,-0.3041178286075592,15.948709487915039,0.13232660293579102
399,-0.3095936179161072,-0.30524691939353943,16.982561111450195,0.13565397262573242
449,-0.309984415769577,-0.30555352568626404,17.311527252197266,0.13155871629714966
499,-0.3101911246776581,-0.30570536851882935,17.525800704956055,0.13283848762512207
549,-0.30839911103248596,-0.30413496494293213,16.660018920898438,0.1320706605911255
599,-0.3089716136455536,-0.30452752113342285,17.36309051513672,0.13360637426376343
649,-0.3096400201320648,-0.3054843246936798,16.23628807067871,0.13565397262573242
699,-0.309664785861969,-0.3052482604980469,17.255260467529297,0.13437420129776
749,-0.30901071429252625,-0.3047198951244354,16.764368057250977,0.13130277395248413
799,-0.3096543848514557,-0.30505844950675964,17.956418991088867,0.13232660293579102
849,-0.3084067702293396,-0.30400559306144714,17.19538688659668,0.13463014364242554
899,-0.3097596764564514,-0.3055005967617035,16.640188217163086,0.13079088926315308
949,-0.3089568018913269,-0.3045176863670349,17.343666076660156,0.13258254528045654
999,-0.3093883991241455,-0.3048749268054962,17.634021759033203,0.1320706605911255
0,-0.308000385761261,-0.30378594994544983,16.46571922302246,0.13283848762512207
49,-0.30732664465904236,-0.3030279278755188,16.7951602935791,0.13079088926315308
99,-0.30778968334198,-0.3034155070781708,17.08977699279785,0.13437420129776
149,-0.3086862862110138,-0.304291695356369,17.169815063476562,0.1330944299697876
199,-0.3079312741756439,-0.30361658334732056,16.85750389099121,0.13027900457382202
