iteration,train_mll,train_acc,test_mll,test_acc
0,-0.6959283947944641,0.2384766936302185,-0.6958935260772705,0.24252663552761078
1,-0.3221440017223358,0.8589563369750977,-0.33323830366134644,0.851556122303009
2,-0.319852352142334,0.858418881893158,-0.3314341604709625,0.8526822328567505
3,-0.3191041350364685,0.8597241044044495,-0.3312086760997772,0.852477490901947
