iteration,train_mll,train_acc,test_mll,test_acc
0,-0.6931447982788086,0.7615233063697815,-0.6931437849998474,0.7574734091758728
1,-0.6940478682518005,0.2384766936302185,-0.6940373182296753,0.24252662062644958
2,-0.687921941280365,0.7615233063697815,-0.6880273222923279,0.7574734091758728
3,-0.648582935333252,0.7615233063697815,-0.6491809487342834,0.7574734091758728
4,-0.5213660597801208,0.7615233063697815,-0.524196445941925,0.7574734091758728
5,-0.4159630835056305,0.7615233063697815,-0.42073285579681396,0.7574734091758728
6,-0.384672611951828,0.7615233063697815,-0.38829928636550903,0.7574734091758728
7,-0.3715207874774933,0.7615233063697815,-0.3754671812057495,0.7574734091758728
8,-0.36457744240760803,0.7615233063697815,-0.369464635848999,0.7574734091758728
9,-0.3618384599685669,0.8421671986579895,-0.3665829300880432,0.8395782113075256
10,-0.35977524518966675,0.8429350256919861,-0.36482319235801697,0.837837815284729
11,-0.3580173850059509,0.832083523273468,-0.3655725419521332,0.8253480792045593
12,-0.35854730010032654,0.841962456703186,-0.3630397617816925,0.8338451981544495
13,-0.3573687672615051,0.844265878200531,-0.3641006350517273,0.8393734693527222
14,-0.356800377368927,0.8441634774208069,-0.3617178797721863,0.8367117047309875
15,-0.35026347637176514,0.8465948104858398,-0.35586437582969666,0.8395782113075256
16,-0.327678918838501,0.852762758731842,-0.3370075523853302,0.8458231091499329
17,-0.3299028277397156,0.8509712815284729,-0.3365795314311981,0.8481777310371399
18,-0.3261581063270569,0.852122962474823,-0.335293173789978,0.8482800722122192
19,-0.3316863179206848,0.8531211018562317,-0.33851534128189087,0.8475634455680847
20,-0.3248160481452942,0.8541703820228577,-0.33194461464881897,0.8480753302574158
21,-0.32683849334716797,0.8506385684013367,-0.3349071741104126,0.8447993397712708
22,-0.3246600329875946,0.8529675006866455,-0.3333093822002411,0.8461301922798157
23,-0.32535287737846375,0.8554244637489319,-0.3330945372581482,0.8476658463478088
24,-0.3235112130641937,0.8546566963195801,-0.33054396510124207,0.8483824729919434
25,-0.3250669538974762,0.8532490730285645,-0.3329787850379944,0.8473587036132812
26,-0.3245617151260376,0.8541960120201111,-0.33160853385925293,0.849201500415802
27,-0.32890579104423523,0.8519949913024902,-0.33661454916000366,0.8488943576812744
28,-0.3260098993778229,0.8526859879493713,-0.33393195271492004,0.8490990996360779
29,-0.33202996850013733,0.8537865281105042,-0.3386913239955902,0.8485872149467468
30,-0.3253157138824463,0.8545030951499939,-0.3323020040988922,0.8479729890823364
