iteration,vfe,ll,kl,error
699,-0.270895779132843,-0.241977721452713,1045.9088134765625,0.109375
749,-0.30685925483703613,-0.278401643037796,1029.254638671875,0.140625
799,-0.18546178936958313,-0.15631824731826782,1054.0638427734375,0.0546875
849,-0.3184043765068054,-0.28971201181411743,1037.744873046875,0.09375
899,-0.2395475059747696,-0.2107769101858139,1040.57470703125,0.1171875
949,-0.19120416045188904,-0.16235624253749847,1043.37158203125,0.0625
999,-0.2985255718231201,-0.2694580852985382,1051.313232421875,0.09375
0,-0.24472056329250336,-0.21571139991283417,1049.203369140625,0.0859375
49,-0.30168139934539795,-0.2741090953350067,997.2348022460938,0.140625
99,-0.16362883150577545,-0.1353941261768341,1021.1925659179688,0.0546875
149,-0.25601667165756226,-0.2275770604610443,1028.60400390625,0.1015625
199,-0.2891739308834076,-0.26133430004119873,1006.9033203125,0.1015625
249,-0.250222384929657,-0.22256317734718323,1000.3782958984375,0.0859375
299,-0.16795362532138824,-0.13870780169963837,1057.762939453125,0.046875
349,-0.25416237115859985,-0.22566744685173035,1030.6046142578125,0.0859375
399,-0.21907319128513336,-0.19134216010570526,1002.9757080078125,0.09375
449,-0.2647777199745178,-0.2363085150718689,1029.674560546875,0.1015625
499,-0.21085196733474731,-0.1831837147474289,1000.7052001953125,0.0703125
549,-0.17970700562000275,-0.15222102403640747,994.1132202148438,0.0703125
599,-0.21738150715827942,-0.18949908018112183,1008.4518432617188,0.0390625
649,-0.21860814094543457,-0.19075357913970947,1007.44384765625,0.0859375
699,-0.23761387169361115,-0.209896057844162,1002.4981689453125,0.0859375
749,-0.32936322689056396,-0.3014650344848633,1009.0224609375,0.15625
799,-0.18006670475006104,-0.152299165725708,1004.2965087890625,0.0546875
849,-0.32965388894081116,-0.30110809206962585,1032.4447021484375,0.1171875
899,-0.2307429313659668,-0.20160123705863953,1053.99658203125,0.09375
949,-0.17781558632850647,-0.14996889233589172,1007.1596069335938,0.0625
999,-0.26170194149017334,-0.2330169677734375,1037.47705078125,0.09375
0,-0.25468215346336365,-0.22603566944599152,1036.0859375,0.109375
49,-0.2916601598262787,-0.26456311345100403,980.04638671875,0.1171875
99,-0.16269932687282562,-0.1350056380033493,1001.62548828125,0.046875
149,-0.2477804273366928,-0.22023141384124756,996.39306640625,0.0859375
199,-0.2803371548652649,-0.25267842411994934,1000.3616943359375,0.0859375
249,-0.2306777685880661,-0.2032351940870285,992.5428466796875,0.078125
299,-0.14693832397460938,-0.11969691514968872,985.2673950195312,0.0546875
349,-0.23557597398757935,-0.2085551619529724,977.2890014648438,0.0859375
399,-0.2209535837173462,-0.19358018040657043,990.041748046875,0.1171875
449,-0.25751587748527527,-0.2301829755306244,988.5765991210938,0.078125
499,-0.2155085802078247,-0.1887771338224411,966.822998046875,0.078125
549,-0.1725345253944397,-0.14560365676879883,974.0358276367188,0.0390625
599,-0.21910999715328217,-0.19184453785419464,986.13720703125,0.0546875
649,-0.21001753211021423,-0.18237793445587158,999.668212890625,0.0859375
699,-0.2502042353153229,-0.22287628054618835,988.3968505859375,0.09375
749,-0.3121102452278137,-0.2849869728088379,980.9951782226562,0.1328125
799,-0.17244313657283783,-0.1457093507051468,966.9075927734375,0.0625
849,-0.3149147927761078,-0.2876855731010437,984.8259887695312,0.09375
899,-0.233796164393425,-0.20638611912727356,991.3665771484375,0.1171875
949,-0.18941587209701538,-0.16243687272071838,975.7764892578125,0.0625
999,-0.258599191904068,-0.23214799165725708,956.6873168945312,0.1015625
0,-0.23873746395111084,-0.21230441331863403,956.03076171875,0.09375
49,-0.3024652600288391,-0.27711549401283264,916.8507690429688,0.125
99,-0.16349512338638306,-0.1375168263912201,939.5825805664062,0.0390625
149,-0.24902445077896118,-0.22282510995864868,947.5780029296875,0.0859375
199,-0.26521897315979004,-0.23931856453418732,936.766845703125,0.09375
249,-0.22278273105621338,-0.19610518217086792,964.8736572265625,0.0859375
299,-0.1504124104976654,-0.12380804121494293,962.2269287109375,0.046875
349,-0.23494118452072144,-0.20895519852638245,939.8612060546875,0.0859375
399,-0.22948530316352844,-0.20364981889724731,934.4176025390625,0.15625
449,-0.2711140513420105,-0.2447356879711151,954.05322265625,0.078125
499,-0.2147623896598816,-0.18904954195022583,929.9820556640625,0.078125
549,-0.16840897500514984,-0.14191393554210663,958.2728271484375,0.046875
599,-0.211278036236763,-0.18398936092853546,986.976806640625,0.046875
649,-0.21889334917068481,-0.19269675016403198,947.4781494140625,0.109375
699,-0.23679624497890472,-0.20997315645217896,970.1375122070312,0.09375
749,-0.3158857822418213,-0.28959256410598755,950.97265625,0.1328125
799,-0.1759510040283203,-0.14964178204536438,951.5518188476562,0.0625
849,-0.3033031225204468,-0.27714234590530396,946.1831665039062,0.109375
899,-0.2489868700504303,-0.22341769933700562,924.7855834960938,0.109375
949,-0.18413479626178741,-0.15775327384471893,954.1669921875,0.0546875
999,-0.26938682794570923,-0.24315869808197021,948.6201171875,0.109375
0,-0.2389603704214096,-0.21276476979255676,947.4425659179688,0.109375
49,-0.2772807478904724,-0.2524011433124542,899.8460083007812,0.125
99,-0.149977445602417,-0.12431594729423523,928.1253662109375,0.0390625
149,-0.2592449188232422,-0.23284882307052612,954.6936645507812,0.109375
199,-0.2651557922363281,-0.2390238493680954,945.14013671875,0.0859375
249,-0.22454969584941864,-0.19829989969730377,949.4024047851562,0.0859375
299,-0.15375684201717377,-0.127735435962677,941.1422119140625,0.046875
349,-0.24089837074279785,-0.21485456824302673,941.952392578125,0.09375
399,-0.21678707003593445,-0.19068145751953125,944.18798828125,0.09375
449,-0.27622929215431213,-0.2497793734073639,956.6405029296875,0.09375
499,-0.21069537103176117,-0.18456590175628662,945.050537109375,0.0703125
549,-0.18092742562294006,-0.1545075625181198,955.5537109375,0.046875
599,-0.2100636214017868,-0.18421584367752075,934.8621826171875,0.0546875
649,-0.21786437928676605,-0.19182462990283966,941.8059692382812,0.0859375
699,-0.2480989694595337,-0.22164461016654968,956.801025390625,0.0859375
749,-0.32183176279067993,-0.2957943379878998,941.7215576171875,0.140625
799,-0.173256054520607,-0.14664693176746368,962.3984985351562,0.046875
849,-0.2973136305809021,-0.27176767587661743,923.9464111328125,0.109375
899,-0.2311350256204605,-0.20413431525230408,976.5617065429688,0.1015625
949,-0.18843699991703033,-0.16178962588310242,963.782470703125,0.0703125
999,-0.24854010343551636,-0.2224477231502533,943.7091064453125,0.1015625
0,-0.2496003806591034,-0.22355782985687256,941.9071655273438,0.109375
49,-0.29760634899139404,-0.2723134756088257,914.79296875,0.109375
99,-0.16485117375850677,-0.13905078172683716,933.1488037109375,0.046875
149,-0.2439018040895462,-0.21818308532238007,930.19482421875,0.09375
199,-0.2716274857521057,-0.24608275294303894,923.9024047851562,0.09375
249,-0.22899970412254333,-0.20274260640144348,949.6668701171875,0.0859375
299,-0.15660645067691803,-0.1304195672273636,947.12744140625,0.046875
349,-0.244500070810318,-0.21861591935157776,936.1777954101562,0.09375
399,-0.19026044011116028,-0.16434912383556366,937.16064453125,0.09375
449,-0.26825010776519775,-0.2413855642080307,971.637451171875,0.1015625
499,-0.20575225353240967,-0.1790526658296585,965.6708374023438,0.0625
549,-0.16839930415153503,-0.14262741804122925,932.1174926757812,0.046875
599,-0.2076091766357422,-0.18139061331748962,948.2731323242188,0.046875
649,-0.20863212645053864,-0.182402566075325,948.670654296875,0.0859375
699,-0.25049635767936707,-0.22438865900039673,944.2628784179688,0.1015625
