iteration,train_mll,train_acc,test_mll,test_acc
0,-0.6931447982788086,0.7615233063697815,-0.6931437849998474,0.7574734091758728
1,-0.6933736205101013,0.2384766936302185,-0.693371057510376,0.24252662062644958
2,-0.6879640817642212,0.7615233063697815,-0.6880696415901184,0.7574734091758728
3,-0.6711943745613098,0.7615233063697815,-0.6715259552001953,0.7574734091758728
4,-0.5718827843666077,0.7615233063697815,-0.5737878680229187,0.7574734091758728
5,-0.4350842237472534,0.7615233063697815,-0.4399367868900299,0.7574734091758728
6,-0.37954816222190857,0.7615233063697815,-0.38356685638427734,0.7574734091758728
7,-0.3655722141265869,0.7615233063697815,-0.3698759377002716,0.7574734091758728
8,-0.3607828617095947,0.7615233063697815,-0.36656880378723145,0.7574734091758728
9,-0.3552861511707306,0.7615233063697815,-0.3611149191856384,0.7574734091758728
10,-0.35779204964637756,0.8446497321128845,-0.363809198141098,0.8363022208213806
11,-0.368652880191803,0.8199523687362671,-0.37511858344078064,0.8137797117233276
12,-0.3702225983142853,0.8318787813186646,-0.37424343824386597,0.8245290517807007
13,-0.36968573927879333,0.8336703181266785,-0.3751797378063202,0.8265765905380249
14,-0.36691686511039734,0.8346684575080872,-0.3711620569229126,0.828009843826294
15,-0.3668651878833771,0.8297033905982971,-0.37139692902565,0.8243243098258972
16,-0.3496241569519043,0.8420648574829102,-0.35687685012817383,0.8368141055107117
17,-0.3417965769767761,0.8425767421722412,-0.3469618558883667,0.8394758105278015
18,-0.33704403042793274,0.8451616168022156,-0.34450024366378784,0.8413186073303223
19,-0.3389388620853424,0.8464668989181519,-0.3448914885520935,0.8418304920196533
20,-0.33770498633384705,0.8525068163871765,-0.34580090641975403,0.8473587036132812
21,-0.33308279514312744,0.851662278175354,-0.3409995138645172,0.8469492197036743
22,-0.3331427574157715,0.8536585569381714,-0.34190478920936584,0.8463349938392639
23,-0.3324233591556549,0.8530954718589783,-0.33987289667129517,0.8466420769691467
24,-0.32888588309288025,0.8549125790596008,-0.3365840017795563,0.8500204682350159
25,-0.3289097845554352,0.8538632988929749,-0.33695411682128906,0.8481777310371399
26,-0.3276463747024536,0.8551941514015198,-0.33574870228767395,0.8484848737716675
27,-0.32741880416870117,0.852302074432373,-0.3378867506980896,0.8490990996360779
28,-0.3282875418663025,0.852583646774292,-0.33822453022003174,0.8494062423706055
29,-0.32524922490119934,0.8557571768760681,-0.33423203229904175,0.849201500415802
30,-0.3313469886779785,0.8546310663223267,-0.33994314074516296,0.849201500415802
