epoch,lls,kls,elbos,errors
31,-7470.363055886751,3673.654162775316,-11144.017218662066,0.3128014174538942
32,-9041.357612546564,3614.826208637491,-12656.183821184055,0.17353357612755538
33,-1257.0881465911202,3514.1709828846015,-4771.259129475722,0.16605549592239496
34,-10599.516594946497,3449.0282079004282,-14048.544802846925,0.51715842256595
35,-10145.557069779774,3395.415438355816,-13540.97250813559,0.2537793408621876
36,-2759.0435063300183,3269.027506884187,-6028.071013214205,0.24366637651894918
37,-3007.4220476743303,3243.864306383748,-6251.286354058078,0.15493765065597526
38,-4192.166483411862,3143.120242875273,-7335.286726287135,0.3139918351234232
39,-7320.823401665935,3139.48854076617,-10460.311942432105,0.40948942834588714
40,-1750.5309069171751,3099.9454683401946,-4850.47637525737,0.15453630458747983
41,-17689.647060260286,3041.8102056510743,-20731.457265911362,0.7092981833689184
42,-10850.000653526082,2970.2143297498624,-13820.214983275944,0.3476135978998643
43,-1808.1020571082768,2954.9628212583907,-4763.0648783666675,0.19441362378240415
44,-9980.58483498669,2918.5700766181953,-12899.154911604885,0.45022207175084933
45,-1674.952840642424,2896.9310093411996,-4571.883849983624,0.2027398664758584
46,-4896.724068138792,2851.377511716166,-7748.101579854958,0.19617800551898
47,-8989.620797477033,2844.852975666915,-11834.473773143949,0.5011153994709008
48,-2151.556532440226,2794.8822677666476,-4946.438800206874,0.17559786896933383
49,-7404.211274014939,2765.455683002906,-10169.666957017846,0.3955171146900616
50,-8271.106933100033,2746.4039191969905,-11017.510852297022,0.34197759330238675
51,-1056.6798018796308,2725.0390475431723,-3781.718849422803,0.14053698233271283
52,-2164.280219508225,2693.044629666859,-4857.324849175084,0.1804393109147876
53,-2371.5521913324883,2632.514709397056,-5004.066900729544,0.21054576891456825
54,-8987.756465636769,2593.0262561121253,-11580.782721748894,0.526648660504778
55,-9737.10257506076,2641.1348632589497,-12378.23743831971,0.5424845816514113
56,-2717.9282492386733,2543.535835410886,-5261.4640846495595,0.1861063051192599
57,-1196.1538163926884,2547.3387014006767,-3743.492517793365,0.17140233790894824
58,-2204.392058391998,2496.4377024926116,-4700.82976088461,0.237822043292422
59,-3766.8591835468596,2514.5417671168334,-6281.400950663693,0.1702761440064265
60,-1794.17231849744,2468.690552032769,-4262.862870530209,0.19423508865513206
61,-1248.7490455912148,2462.023661225554,-3710.7727068167687,0.1674603673626786
62,-5919.295914790364,2409.4546810530464,-8328.75059584341,0.4205971696519606
