epoch,lls,kls,elbos,errors
0,-48818.8127447711,25973.52870175576,-74792.34144652686,1.535444775276903
1,-49792.72331162135,25629.425722666034,-75422.14903428737,1.51596480863327
2,-36139.69459664877,22843.604695273098,-58983.29929192187,1.283665680818116
3,-36955.588972719095,19136.49642384915,-56092.08539656825,1.337894396932852
4,-30349.444218662247,16821.221443835962,-47170.66566249821,1.2075971118773252
5,-31260.408385596496,16090.77238407492,-47351.18076967142,1.2550578271013193
6,-30043.332820449024,15379.191278313121,-45422.524098762144,1.1918585618335729
7,-30977.479462752322,13778.423433143733,-44755.902895896055,1.1940331374645774
8,-26181.285864056983,11926.316758162942,-38107.60262221993,1.1330361068689268
9,-23587.21529056827,10292.95873833902,-33880.17402890729,1.0878649918415892
10,-22916.435224965542,9344.538601913937,-32260.97382687948,1.080885615397526
11,-26056.133503166493,9176.836331608069,-35232.96983477456,1.0815821905710898
12,-18761.80204892924,9113.387515579358,-27875.189564508597,0.9783591612786777
13,-21584.724068380325,9041.913334599241,-30626.637402979566,1.0400575507339198
14,-15082.452057527144,8541.60615949536,-23624.058217022503,0.8623742484427721
15,-20420.461483674368,8167.131365695024,-28587.592849369394,1.0193654406583736
16,-14824.60061781225,7426.728654117162,-22251.32927192941,0.8823152310329108
17,-20690.475631524547,7204.041320144473,-27894.51695166902,1.0176710593284022
18,-15718.405294728462,6737.543079584308,-22455.94837431277,0.8988987551929175
19,-16593.962111449753,6636.628277066657,-23230.590388516408,0.9202544609164575
20,-12105.665031074386,6489.114010217682,-18594.77904129207,0.8010972342416495
21,-12834.973378886294,6380.845917844498,-19215.81929673079,0.8382744986911732
22,-9624.01147751063,6388.496755677394,-16012.508233188024,0.6861370802132069
23,-12286.2792604024,6099.464447308738,-18385.74370771114,0.8067667533890857
24,-12235.567721517411,5576.81445288535,-17812.38217440276,0.7913341538150903
25,-10212.424595512754,4995.609416295303,-15208.034011808057,0.700651391000851
26,-9112.382393446627,4880.75573115459,-13993.138124601217,0.6435955324987194
27,-9485.181047930011,4617.594891279528,-14102.77593920954,0.6813781054969763
28,-7950.513662382398,4683.19720838331,-12633.710870765708,0.6407986389227698
29,-7012.234937046519,4663.758279177883,-11675.993216224402,0.5813105999383469
30,-6201.939289533934,4404.348447200723,-10606.287736734657,0.531040996416819
31,-6606.09027203475,4243.6695176097155,-10849.759789644466,0.6220786269844784
32,-5191.073037738243,3888.4507112965757,-9079.523749034819,0.5153507313254261
33,-6265.680599747701,3832.6420983479065,-10098.322698095608,0.5686104272179359
34,-6118.598511865662,3756.610390673507,-9875.208902539169,0.5180066409577385
35,-5934.330217512876,3696.214685512102,-9630.544903024977,0.5964027579428995
36,-4608.295749814729,3615.009905495106,-8223.305655309836,0.48636347215749914
37,-6387.444680606345,3486.047480886498,-9873.492161492843,0.6000508733277446
38,-3205.109697770177,3390.1792470001164,-6595.288944770293,0.3876384244511694
39,-5306.541431379114,3334.5753425157905,-8641.116773894904,0.5152034894846593
40,-4044.911917453882,3260.319345646961,-7305.231263100843,0.4602243499995989
