z,yz
-3.3286815,-1.5524759
3.0673442,1.1783131
3.4005117,1.5065697
-3.0830019,-1.0248007
2.9642074,1.031232
3.3672855,1.6256907
2.7423568,0.6780363
3.2058742,0.9519865
3.0237925,1.1096851
2.9888377,1.2364346
-3.0839636,-1.022566
-2.9511218,-0.5478252
2.5647938,0.83164227
-3.2875702,-1.8745717
2.8694599,0.8513571
-2.7724247,-0.7831761
-3.4340403,-1.7543875
2.8086166,0.8062071
3.5880084,1.9645561
-2.472542,-0.6458872
-3.1428123,-1.1756725
-2.8306766,-0.68775463
3.3686326,1.5151098
-2.499321,-0.68829983
3.0486116,1.10719
3.0353074,1.1290153
3.001798,1.1013812
-3.292182,-1.6452347
-2.4886022,-0.5087271
2.307096,0.45603538
-3.2753599,-1.0743641
-2.8954978,-1.2175673
-3.05068,-0.65173876
2.8876784,1.0147182
3.0248113,0.8830874
3.007358,0.8544166
-3.3186257,-1.6896344
-2.4731565,-0.55213857
-3.0764632,-1.0668817
-3.0293925,-1.6478231
