communications,iteration,train_mll,train_error,test_mll,test_error
0,0,-420.66424560546875,1.6387476921081543,-71.95686340332031,0.2801501154899597
2,1,-56.35726547241211,1.3339531421661377,-0.3368786573410034,0.17568740248680115
4,2,-8.980324745178223,0.3724750280380249,-1.7125649452209473,0.26484063267707825
6,3,-4.1302571296691895,0.2883794903755188,0.14796757698059082,0.16029077768325806
8,4,-7.395778179168701,0.40639233589172363,0.3358646631240845,0.14694398641586304
