x_tr,y_tr
-3.2019072,-1.2899935
-2.9666417,-1.1094635
-3.9501393,-2.352096
-2.119841,-0.46873724
-2.1082916,-0.20902357
-2.4065375,-0.4528936
-3.1699717,-1.2572702
-2.359486,-0.63762534
-3.5419133,-1.678259
-2.180825,-0.3087054
-3.7633266,-2.25114
-3.8495553,-2.3230064
-3.1815581,-1.2256756
-2.079865,-0.30941474
-3.5813968,-1.9180695
-3.6120956,-1.8992535
-2.218111,-0.47337443
-3.122663,-1.0019041
-3.2860413,-1.5194439
-2.909262,-0.7862953
2.038899,0.38082173
3.5466943,1.6127878
3.7300968,1.9736804
3.6193817,1.9316386
3.333122,1.3818861
2.730505,0.9005635
2.7273898,0.75741404
3.136135,1.2818278
2.5272982,0.6292521
3.456253,1.6199317
2.0409288,0.19879663
3.561915,1.8818032
2.2768261,0.42592737
3.7962282,2.2819788
2.1969318,0.3272443
2.055931,0.41049102
3.919736,2.5142012
3.8176515,2.3710968
2.305949,0.41873464
3.293972,1.2958949
