communications,iteration,train_mll,train_error,test_mll,test_error
0,0,-61.19508361816406,1.4016045331954956,0.22504225373268127,0.17140313982963562
2,1,-61.2523078918457,1.4016616344451904,0.2200046181678772,0.17188814282417297
4,2,-2.0775938034057617,0.23067772388458252,0.43958568572998047,0.1390363723039627
6,3,-1.6559752225875854,0.1799420416355133,0.3744218349456787,0.1428939402103424
8,4,-2.101163625717163,0.23010002076625824,0.26088619232177734,0.1538555920124054
