z,yz
-0.674785,-0.04885822
2.2261386,0.2758247
-0.6594877,0.35543573
-3.8172472,-2.1327813
-2.2120156,-0.13580675
1.6303204,0.6349311
1.0225981,-0.2474617
-0.8937757,0.17309001
-1.1479794,0.76698244
1.6837968,-0.050193667
-0.9989842,0.28614897
1.0912306,0.94497156
-0.7309233,-0.77284205
-2.1297522,-2.1536407
-1.1897334,-1.3337077
1.3949109,0.22084399
1.0446934,-0.15853666
1.6051729,-0.13204698
0.8276675,-0.02042887
-2.4029176,-2.2786262
0.6398218,-0.11996588
3.466844,1.5021232
-0.59043884,0.2989944
3.950342,2.3558888
3.1285741,1.1148299
-0.9250589,-0.23812991
-1.9311019,-1.3830135
-1.075161,0.4384611
1.7194718,1.3609916
-0.7609933,0.16719346
-1.0485883,-0.57379025
-2.7159512,-0.8462242
1.1020156,0.49618787
-3.2020495,-1.1858066
1.0423307,-0.20171028
-0.6809642,0.08292323
2.6543207,0.63275236
1.2246376,0.19168372
2.1268337,0.66239136
2.3828788,2.277228
